Jahr 	Mittel 78 % 	Abweichung 78 % 	Mittel 100 % 	Abweichung 100 %
2025 	09.04. 	-1 Tag 	  	 
2024 	31.03. 	-10 Tage 	08.04. 	-8 Tage
2023 	13.04. 	3 Tage 	19.04. 	3 Tage
2022 	09.04. 	-1 Tag 	15.04. 	-1 Tag
2021 	12.04. 	2 Tage 	20.04. 	4 Tage
2020 	04.04. 	-6 Tage 	10.04. 	-6 Tage
2019 	06.04. 	-4 Tage 	12.04. 	-4 Tage
2018 	13.04. 	3 Tage 	17.04. 	1 Tag
2017 	03.04. 	-7 Tage 	10.04. 	-6 Tage
2016 	15.04. 	5 Tage 	21.04. 	5 Tage
2015 	14.04. 	4 Tage 	18.04. 	2 Tage
2014 	04.04. 	-6 Tage 	11.04. 	-5 Tage
2013 	23.04. 	13 Tage 	27.04. 	11 Tage
2012 	09.04. 	-1 Tag 	17.04. 	1 Tag