Jahr 	Mittel 51 % 	Abweichung 51 % 	Mittel 100 % 	Abweichung 100 %
2025 	20.05. 	-1 Tag 	  	 
2024 	13.05. 	-8 Tage 	21.05. 	-7 Tage
2023 	21.05. 	0 Tage 	28.05. 	0 Tage
2022 	18.05. 	-3 Tage 	25.05. 	-3 Tage
2021 	29.05. 	8 Tage 	04.06. 	7 Tage
2020 	17.05. 	-4 Tage 	24.05. 	-4 Tage
2019 	21.05. 	0 Tage 	27.05. 	-1 Tag
2018 	14.05. 	-7 Tage 	20.05. 	-8 Tage
2017 	23.05. 	2 Tage 	29.05. 	1 Tag
2016 	21.05. 	0 Tage 	28.05. 	0 Tage
2015 	20.05. 	-1 Tag 	27.05. 	-1 Tag
2014 	16.05. 	-5 Tage 	22.05. 	-6 Tage
2013 	29.05. 	8 Tage 	05.06. 	8 Tage
2012 	20.05. 	-1 Tag 	25.05. 	-3 Tage
2011 	16.05. 	-5 Tage 	23.05. 	-5 Tage
2010 	30.05. 	9 Tage 	05.06. 	8 Tage
2009 	17.05. 	-4 Tage 	23.05. 	-5 Tage
2008 	21.05. 	0 Tage 	27.05. 	-1 Tag
2007 	11.05. 	-10 Tage 	18.05. 	-10 Tage
2006 	26.05. 	5 Tage 	04.06. 	7 Tage
2005 	25.05. 	4 Tage 	01.06. 	4 Tage
2004 	23.05. 	2 Tage 	30.05. 	2 Tage
2003 	23.05. 	2 Tage 	29.05. 	1 Tag
2002 	23.05. 	2 Tage 	30.05. 	2 Tage
2001 	24.05. 	3 Tage 	31.05. 	3 Tage
2000 	12.05. 	-9 Tage 	20.05. 	-8 Tage
1999 	24.05. 	3 Tage 	30.05. 	2 Tage
1998 	20.05. 	-1 Tag 	27.05. 	-1 Tag
1997 	26.05. 	5 Tage 	02.06. 	5 Tage
1996 	02.06. 	12 Tage 	08.06. 	11 Tage
1995 	26.05. 	5 Tage 	03.06. 	6 Tage
1994 	24.05. 	3 Tage 	01.06. 	4 Tage
1993 	18.05. 	-3 Tage 	25.05. 	-3 Tage
1992 	25.05. 	4 Tage 	31.05. 	3 Tage