Jahr 	Gebietsmittel 	Abweichung vom Mittel
2025 	09.04. 	-5 Tage
2024 	02.04. 	-12 Tage
2023 	16.04. 	2 Tage
2022 	14.04. 	0 Tage
2021 	16.04. 	2 Tage
2020 	06.04. 	-8 Tage
2019 	06.04. 	-8 Tage
2018 	14.04. 	0 Tage
2017 	05.04. 	-9 Tage
2016 	12.04. 	-2 Tage
2015 	17.04. 	3 Tage
2014 	31.03. 	-14 Tage
2013 	23.04. 	9 Tage
2012 	09.04. 	-5 Tage
2011 	08.04. 	-6 Tage
2010 	13.04. 	-1 Tag
2009 	10.04. 	-4 Tage
2008 	16.04. 	2 Tage
2007 	08.04. 	-6 Tage
2006 	24.04. 	10 Tage
2005 	14.04. 	0 Tage
2004 	11.04. 	-3 Tage
2003 	16.04. 	2 Tage
2002 	07.04. 	-7 Tage
2001 	21.04. 	7 Tage
2000 	15.04. 	1 Tag
1999 	12.04. 	-2 Tage
1998 	12.04. 	-2 Tage
1997 	13.04. 	-1 Tag
1996 	23.04. 	9 Tage
1995 	21.04. 	7 Tage
1994 	20.04. 	6 Tage
1993 	19.04. 	5 Tage
1992 	23.04. 	9 Tage